Configuration: 0705_1
Duration: 0.400 s
Sample Rate: 50 kHz
ConfigID: 11
Comment: 
MeasurementID: 552
Result: NOK
Date: 11/18/2020 12:11:27 PM
User Comment: 
Index;Time;P Raw;Plasma;T Raw;Temp;BR Raw;BR;AN Power
0;0.000000;0.005;0.000;0.013;0.000;0.022;0.000;2.151
1;0.000020;0.006;0.000;0.011;0.000;0.042;0.000;3.105
2;0.000040;0.005;0.000;0.009;0.000;0.011;0.000;2.902
3;0.000060;0.005;0.000;0.011;0.000;0.013;0.000;2.946
4;0.000080;0.006;0.000;0.011;0.000;0.035;0.000;2.953
5;0.000100;0.006;0.000;0.011;0.000;0.042;0.000;2.948
6;0.000120;0.005;0.000;0.009;0.000;0.011;0.000;2.951
7;0.000140;0.005;0.000;0.013;0.000;0.016;0.000;2.948
8;0.000160;0.005;0.000;0.013;0.000;0.049;0.000;2.950
9;0.000180;0.006;0.000;0.009;0.000;0.013;0.000;2.952
10;0.000200;0.005;0.000;0.011;0.000;0.009;0.000;2.950
11;0.000220;0.011;0.000;0.013;0.000;0.018;0.000;2.948
12;0.000240;0.025;0.000;0.011;0.000;5.508;0.001;2.950
13;0.000260;0.070;0.000;0.011;0.000;19.136;0.002;2.950
14;0.000280;0.109;0.000;0.189;0.000;7.886;0.005;2.950
15;0.000300;0.097;0.000;0.187;0.000;5.861;0.010;2.949
16;0.000320;0.096;0.000;0.245;0.000;6.372;0.016;2.950
17;0.000340;0.085;0.000;0.275;0.000;5.629;0.023;2.952
18;0.000360;0.103;0.000;0.273;0.001;4.230;0.030;2.951
19;0.000380;0.134;0.000;0.275;0.001;3.821;0.038;2.948
20;0.000400;0.114;0.001;0.300;0.001;3.966;0.047;2.950
21;0.000420;0.103;0.001;0.287;0.001;3.699;0.056;2.952
22;0.000440;0.080;0.001;0.242;0.002;3.602;0.065;2.949
23;0.000460;0.089;0.001;0.260;0.002;3.386;0.075;2.950
24;0.000480;0.130;0.001;0.337;0.002;3.397;0.085;2.950
25;0.000500;0.157;0.001;0.438;0.003;3.237;0.096;2.950
26;0.000520;0.145;0.002;0.513;0.003;3.400;0.106;2.950
27;0.000540;0.125;0.002;0.547;0.004;3.272;0.117;2.950
28;0.000560;0.107;0.002;0.507;0.004;3.483;0.129;2.950
29;0.000580;0.094;0.002;0.438;0.005;3.642;0.140;2.951
30;0.000600;0.127;0.003;0.388;0.006;3.417;0.153;2.949
31;0.000620;0.143;0.003;0.401;0.007;3.488;0.165;2.950
32;0.000640;0.148;0.003;0.438;0.008;3.406;0.178;2.950
33;0.000660;0.137;0.003;0.439;0.009;3.950;0.190;2.950
34;0.000680;0.091;0.004;0.410;0.009;4.772;0.204;2.949
35;0.000700;0.086;0.004;0.385;0.010;4.557;0.218;2.951
36;0.000720;0.092;0.004;0.348;0.012;4.783;0.232;2.951
37;0.000740;0.093;0.005;0.304;0.013;5.328;0.246;2.950
38;0.000760;0.118;0.005;0.295;0.014;5.290;0.262;2.949
39;0.000780;0.205;0.005;0.357;0.015;5.817;0.277;2.950
40;0.000800;0.210;0.006;0.416;0.016;5.852;0.294;2.951
41;0.000820;0.106;0.006;0.406;0.017;6.075;0.311;2.949
42;0.000840;0.095;0.007;0.388;0.018;5.907;0.328;2.948
43;0.000860;0.100;0.007;0.355;0.020;5.905;0.346;2.951
44;0.000880;0.109;0.008;0.328;0.021;6.028;0.365;2.952
45;0.000900;0.100;0.008;0.320;0.022;6.119;0.384;2.948
46;0.000920;0.076;0.008;0.304;0.024;6.050;0.404;2.950
47;0.000940;0.081;0.009;0.266;0.025;5.870;0.424;2.953
48;0.000960;0.071;0.009;0.225;0.026;5.958;0.445;2.950
49;0.000980;0.084;0.010;0.225;0.028;5.272;0.466;2.950
50;0.001000;0.113;0.010;0.295;0.029;5.361;0.488;2.950
51;0.001020;0.122;0.011;0.320;0.031;5.623;0.510;2.951
52;0.001040;0.079;0.011;0.286;0.032;5.790;0.532;2.950
53;0.001060;0.079;0.012;0.264;0.034;5.440;0.555;2.950
54;0.001080;0.085;0.012;0.278;0.035;4.926;0.578;2.950
55;0.001100;0.110;0.013;0.291;0.037;4.905;0.602;2.953
56;0.001120;0.100;0.013;0.287;0.038;5.068;0.625;2.950
57;0.001140;0.115;0.014;0.317;0.040;5.182;0.649;2.949
58;0.001160;0.108;0.014;0.330;0.041;5.583;0.674;2.952
59;0.001180;0.100;0.015;0.324;0.043;6.216;0.698;2.951
60;0.001200;0.109;0.015;0.339;0.044;5.977;0.724;2.950
61;0.001220;0.116;0.016;0.375;0.046;5.477;0.749;2.951
62;0.001240;0.138;0.016;0.419;0.047;5.900;0.775;2.951
63;0.001260;0.135;0.017;0.443;0.049;5.795;0.801;2.950
64;0.001280;0.115;0.017;0.447;0.051;5.511;0.827;2.950
65;0.001300;0.114;0.018;0.472;0.052;5.788;0.854;2.950
66;0.001320;0.127;0.019;0.493;0.054;5.912;0.881;2.951
67;0.001340;0.108;0.019;0.452;0.056;6.129;0.908;2.951
68;0.001360;0.105;0.020;0.439;0.058;5.817;0.936;2.949
69;0.001380;0.139;0.020;0.496;0.059;5.114;0.964;2.951
70;0.001400;0.151;0.021;0.538;0.061;4.411;0.992;2.952
71;0.001420;0.139;0.021;0.520;0.063;4.118;1.020;2.950
72;0.001440;0.123;0.022;0.509;0.065;4.612;1.048;2.949
73;0.001460;0.147;0.023;0.489;0.067;4.129;1.076;2.950
74;0.001480;0.140;0.023;0.472;0.069;4.162;1.104;2.952
75;0.001500;0.090;0.024;0.441;0.071;3.836;1.133;2.948
76;0.001520;0.057;0.024;0.381;0.073;5.208;1.161;2.949
77;0.001540;0.106;0.025;0.364;0.075;6.326;1.189;2.951
78;0.001560;0.150;0.026;0.361;0.077;4.208;1.217;2.952
79;0.001580;0.119;0.026;0.328;0.080;4.536;1.246;2.949
80;0.001600;0.098;0.027;0.322;0.082;5.021;1.274;2.950
81;0.001620;0.098;0.028;0.322;0.084;5.468;1.303;2.951
82;0.001640;0.099;0.028;0.293;0.086;4.964;1.332;2.950
83;0.001660;0.118;0.029;0.289;0.088;4.656;1.361;2.949
84;0.001680;0.134;0.029;0.339;0.090;5.002;1.389;2.950
85;0.001700;0.137;0.030;0.353;0.092;4.764;1.418;2.951
86;0.001720;0.114;0.031;0.331;0.094;4.523;1.447;2.950
87;0.001740;0.092;0.031;0.315;0.096;4.332;1.476;2.950
88;0.001760;0.101;0.032;0.309;0.098;4.567;1.505;2.951
89;0.001780;0.110;0.033;0.300;0.100;4.750;1.533;2.951
90;0.001800;0.146;0.033;0.330;0.102;3.979;1.562;2.951
91;0.001820;0.224;0.034;0.430;0.105;3.961;1.591;2.950
92;0.001840;0.278;0.035;0.535;0.107;4.166;1.619;2.951
93;0.001860;0.191;0.035;0.538;0.109;3.856;1.648;2.952
94;0.001880;0.125;0.036;0.460;0.111;3.878;1.676;2.950
95;0.001900;0.125;0.037;0.427;0.113;3.658;1.704;2.950
96;0.001920;0.109;0.037;0.410;0.115;3.810;1.732;2.951
97;0.001940;0.086;0.038;0.341;0.117;4.195;1.760;2.951
98;0.001960;0.073;0.039;0.287;0.120;3.724;1.787;2.949
99;0.001980;0.108;0.040;0.330;0.122;3.972;1.815;2.950
100;0.002000;0.113;0.040;0.341;0.124;3.441;1.842;2.953
101;0.002020;0.138;0.041;0.326;0.126;3.576;1.869;2.951
102;0.002040;0.153;0.042;0.359;0.128;4.078;1.896;2.950
103;0.002060;0.137;0.042;0.396;0.130;3.900;1.923;2.951
104;0.002080;0.114;0.043;0.361;0.133;3.452;1.949;2.953
105;0.002100;0.073;0.044;0.300;0.135;3.574;1.975;2.950
106;0.002120;0.056;0.044;0.260;0.137;3.895;2.002;2.951
107;0.002140;0.096;0.045;0.266;0.139;4.239;2.028;2.951
108;0.002160;0.120;0.046;0.293;0.141;3.860;2.053;2.952
109;0.002180;0.142;0.046;0.302;0.143;3.358;2.079;2.950
110;0.002200;0.190;0.047;0.352;0.145;3.629;2.104;2.951
111;0.002220;0.239;0.048;0.405;0.147;3.580;2.130;2.951
112;0.002240;0.186;0.049;0.385;0.149;3.755;2.155;2.953
113;0.002260;0.124;0.049;0.359;0.152;3.871;2.179;2.951
114;0.002280;0.103;0.050;0.370;0.154;3.532;2.204;2.951
115;0.002300;0.125;0.051;0.385;0.156;3.594;2.228;2.952
116;0.002320;0.129;0.051;0.416;0.158;3.668;2.253;2.950
117;0.002340;0.096;0.052;0.430;0.160;4.136;2.277;2.951
118;0.002360;0.113;0.053;0.425;0.162;4.832;2.300;2.951
119;0.002380;0.114;0.054;0.399;0.164;4.581;2.324;2.953
120;0.002400;0.139;0.054;0.374;0.166;3.812;2.348;2.952
121;0.002420;0.146;0.055;0.368;0.168;3.928;2.372;2.950
122;0.002440;0.153;0.056;0.421;0.170;3.712;2.395;2.952
123;0.002460;0.145;0.056;0.476;0.172;3.803;2.418;2.953
124;0.002480;0.129;0.057;0.474;0.174;3.631;2.441;2.950
125;0.002500;0.108;0.058;0.478;0.177;3.419;2.464;2.950
126;0.002520;0.107;0.058;0.494;0.179;3.776;2.486;2.952
127;0.002540;0.118;0.059;0.493;0.181;3.882;2.509;2.951
128;0.002560;0.123;0.060;0.469;0.183;3.730;2.531;2.950
129;0.002580;0.133;0.061;0.502;0.185;3.675;2.553;2.950
130;0.002600;0.152;0.061;0.580;0.187;4.094;2.575;2.951
131;0.002620;0.132;0.062;0.591;0.189;4.215;2.596;2.951
132;0.002640;0.130;0.063;0.557;0.192;4.149;2.618;2.949
133;0.002660;0.119;0.063;0.542;0.194;3.565;2.639;2.950
134;0.002680;0.113;0.064;0.491;0.196;3.362;2.660;2.953
135;0.002700;0.100;0.065;0.434;0.198;3.600;2.681;2.951
136;0.002720;0.067;0.065;0.379;0.200;4.037;2.701;2.949
137;0.002740;0.070;0.066;0.350;0.203;4.136;2.722;2.951
138;0.002760;0.085;0.067;0.324;0.205;3.994;2.742;2.952
139;0.002780;0.065;0.067;0.278;0.207;3.906;2.762;2.950
140;0.002800;0.068;0.068;0.255;0.209;5.167;2.782;2.950
141;0.002820;0.100;0.069;0.304;0.211;4.748;2.802;2.950
142;0.002840;0.100;0.069;0.342;0.214;4.092;2.822;2.951
143;0.002860;0.100;0.070;0.363;0.216;3.734;2.842;2.950
144;0.002880;0.103;0.070;0.390;0.218;3.832;2.862;2.949
145;0.002900;0.094;0.071;0.397;0.220;4.136;2.881;2.951
146;0.002920;0.092;0.072;0.355;0.222;4.869;2.900;2.951
147;0.002940;0.080;0.072;0.315;0.224;5.354;2.920;2.949
148;0.002960;0.084;0.073;0.317;0.226;5.665;2.939;2.951
149;0.002980;0.107;0.073;0.346;0.228;5.652;2.958;2.951
150;0.003000;0.092;0.074;0.339;0.230;5.475;2.978;2.949
151;0.003020;0.094;0.074;0.324;0.232;5.991;2.997;2.950
152;0.003040;0.103;0.075;0.324;0.234;6.539;3.017;2.950
153;0.003060;0.137;0.076;0.335;0.236;6.475;3.037;2.950
154;0.003080;0.134;0.076;0.335;0.238;5.511;3.057;2.950
155;0.003100;0.138;0.077;0.333;0.239;5.233;3.077;2.949
156;0.003120;0.168;0.077;0.397;0.241;5.292;3.097;2.950
157;0.003140;0.190;0.078;0.460;0.243;5.535;3.117;2.952
158;0.003160;0.191;0.078;0.487;0.245;5.286;3.137;2.948
159;0.003180;0.160;0.079;0.527;0.247;5.283;3.157;2.950
160;0.003200;0.135;0.079;0.524;0.249;4.750;3.177;2.952
161;0.003220;0.141;0.080;0.483;0.251;4.633;3.196;2.951
162;0.003240;0.164;0.081;0.513;0.253;4.545;3.216;2.949
163;0.003260;0.152;0.081;0.575;0.255;5.246;3.236;2.950
164;0.003280;0.136;0.082;0.591;0.256;5.746;3.255;2.950
165;0.003300;0.123;0.082;0.571;0.258;5.557;3.275;2.952
166;0.003320;0.131;0.083;0.557;0.260;5.292;3.295;2.950
167;0.003340;0.180;0.083;0.626;0.262;5.165;3.314;2.949
168;0.003360;0.201;0.084;0.732;0.264;4.788;3.334;2.952
169;0.003380;0.167;0.084;0.705;0.266;4.926;3.353;2.953
170;0.003400;0.124;0.085;0.601;0.268;5.045;3.373;2.949
171;0.003420;0.135;0.086;0.562;0.270;5.889;3.392;2.951
172;0.003440;0.152;0.086;0.590;0.273;5.689;3.411;2.951
173;0.003460;0.164;0.087;0.610;0.275;5.136;3.431;2.950
174;0.003480;0.152;0.087;0.606;0.277;5.735;3.450;2.950
175;0.003500;0.160;0.088;0.639;0.279;5.867;3.469;2.949
176;0.003520;0.150;0.088;0.628;0.281;5.898;3.488;2.951
177;0.003540;0.135;0.089;0.566;0.283;5.341;3.508;2.951
178;0.003560;0.154;0.090;0.529;0.285;4.521;3.527;2.949
179;0.003580;0.163;0.090;0.513;0.287;4.583;3.546;2.953
180;0.003600;0.125;0.091;0.460;0.290;4.396;3.565;2.953
181;0.003620;0.117;0.091;0.436;0.292;4.292;3.584;2.950
182;0.003640;0.125;0.092;0.430;0.294;4.440;3.602;2.951
183;0.003660;0.167;0.092;0.460;0.296;4.752;3.621;2.951
184;0.003680;0.222;0.093;0.509;0.298;4.515;3.639;2.950
185;0.003700;0.179;0.094;0.518;0.300;3.779;3.657;2.950
186;0.003720;0.153;0.094;0.531;0.302;3.873;3.674;2.951
187;0.003740;0.163;0.095;0.531;0.304;3.853;3.692;2.951
188;0.003760;0.148;0.095;0.516;0.307;4.081;3.709;2.951
189;0.003780;0.144;0.096;0.520;0.309;4.059;3.726;2.949
190;0.003800;0.161;0.096;0.549;0.311;3.906;3.743;2.951
191;0.003820;0.158;0.097;0.608;0.313;4.014;3.759;2.952
192;0.003840;0.163;0.098;0.645;0.315;3.666;3.775;2.949
193;0.003860;0.174;0.098;0.681;0.317;3.600;3.791;2.949
194;0.003880;0.159;0.099;0.687;0.319;4.023;3.806;2.951
195;0.003900;0.151;0.099;0.643;0.321;3.717;3.822;2.952
196;0.003920;0.143;0.100;0.595;0.323;3.387;3.837;2.950
197;0.003940;0.132;0.100;0.566;0.326;3.274;3.851;2.951
198;0.003960;0.139;0.101;0.586;0.328;3.300;3.866;2.950
199;0.003980;0.186;0.102;0.595;0.330;3.380;3.880;2.950
200;0.004000;0.201;0.102;0.595;0.332;3.351;3.893;2.950
201;0.004020;0.161;0.103;0.602;0.334;2.853;3.906;2.950
202;0.004040;0.150;0.103;0.595;0.337;3.030;3.919;2.951
203;0.004060;0.146;0.104;0.551;0.339;2.937;3.932;2.951
204;0.004080;0.123;0.104;0.511;0.341;2.741;3.944;2.950
205;0.004100;0.122;0.105;0.522;0.343;2.719;3.956;2.950
206;0.004120;0.109;0.105;0.511;0.345;2.997;3.967;2.951
207;0.004140;0.136;0.106;0.531;0.347;3.153;3.978;2.950
208;0.004160;0.103;0.106;0.591;0.349;3.197;3.989;2.950
209;0.004180;0.116;0.107;0.602;0.352;2.769;3.999;2.950
210;0.004200;0.162;0.108;0.617;0.354;3.027;4.009;2.951
211;0.004220;0.147;0.108;0.613;0.356;3.455;4.019;2.951
212;0.004240;0.138;0.109;0.558;0.358;3.772;4.028;2.951
213;0.004260;0.167;0.109;0.535;0.360;3.133;4.038;2.952
214;0.004280;0.146;0.110;0.535;0.362;2.664;4.046;2.952
215;0.004300;0.140;0.110;0.520;0.364;3.539;4.055;2.950
216;0.004320;0.157;0.111;0.577;0.367;2.822;4.063;2.951
217;0.004340;0.168;0.111;0.639;0.369;3.347;4.071;2.951
218;0.004360;0.144;0.112;0.613;0.371;3.675;4.079;2.951
219;0.004380;0.110;0.112;0.564;0.373;2.798;4.087;2.951
220;0.004400;0.107;0.112;0.529;0.375;3.408;4.094;2.950
221;0.004420;0.138;0.113;0.544;0.377;3.126;4.101;2.952
222;0.004440;0.119;0.113;0.544;0.379;2.710;4.107;2.953
223;0.004460;0.106;0.114;0.511;0.381;2.505;4.114;2.950
224;0.004480;0.119;0.114;0.502;0.383;2.928;4.120;2.951
225;0.004500;0.161;0.115;0.504;0.385;2.831;4.125;2.953
226;0.004520;0.154;0.115;0.500;0.387;3.034;4.131;2.950
227;0.004540;0.148;0.116;0.516;0.389;3.177;4.136;2.950
228;0.004560;0.147;0.116;0.612;0.391;3.045;4.141;2.952
229;0.004580;0.135;0.117;0.641;0.393;2.769;4.145;2.953
230;0.004600;0.108;0.117;0.590;0.395;3.186;4.150;2.950
231;0.004620;0.104;0.117;0.569;0.397;3.651;4.154;2.950
232;0.004640;0.111;0.118;0.573;0.399;3.578;4.157;2.951
233;0.004660;0.088;0.118;0.522;0.401;4.096;4.161;2.953
234;0.004680;0.082;0.119;0.476;0.403;3.902;4.165;2.951
235;0.004700;0.085;0.119;0.458;0.405;3.521;4.169;2.950
236;0.004720;0.092;0.119;0.445;0.407;3.955;4.172;2.952
237;0.004740;0.101;0.120;0.423;0.409;3.856;4.175;2.953
238;0.004760;0.091;0.120;0.416;0.411;3.364;4.178;2.950
239;0.004780;0.104;0.120;0.428;0.412;4.241;4.182;2.951
240;0.004800;0.090;0.121;0.436;0.414;4.514;4.185;2.952
241;0.004820;0.112;0.121;0.438;0.416;4.409;4.187;2.951
242;0.004840;0.099;0.121;0.458;0.418;3.909;4.191;2.950
243;0.004860;0.092;0.122;0.474;0.419;3.712;4.193;2.951
244;0.004880;0.108;0.122;0.476;0.421;3.973;4.196;2.952
245;0.004900;0.091;0.122;0.410;0.423;4.525;4.199;2.951
246;0.004920;0.087;0.123;0.386;0.424;4.937;4.201;2.950
247;0.004940;0.109;0.123;0.414;0.426;5.279;4.204;2.951
248;0.004960;0.123;0.123;0.405;0.427;4.860;4.207;2.952
249;0.004980;0.092;0.123;0.363;0.429;5.248;4.210;2.950
250;0.005000;0.097;0.124;0.350;0.430;5.566;4.213;2.950
251;0.005020;0.110;0.124;0.346;0.432;5.321;4.216;2.952
252;0.005040;0.114;0.124;0.311;0.433;5.464;4.219;2.951
253;0.005060;0.129;0.124;0.344;0.435;5.541;4.223;2.950
254;0.005080;0.141;0.124;0.430;0.436;5.305;4.226;2.951
255;0.005100;0.145;0.125;0.463;0.437;5.718;4.230;2.952
256;0.005120;0.107;0.125;0.447;0.439;5.594;4.234;2.952
257;0.005140;0.085;0.125;0.405;0.440;5.173;4.238;2.949
258;0.005160;0.098;0.125;0.394;0.441;4.618;4.242;2.950
259;0.005180;0.146;0.126;0.441;0.442;4.252;4.246;2.952
260;0.005200;0.139;0.126;0.439;0.444;4.534;4.250;2.949
261;0.005220;0.116;0.126;0.428;0.445;4.656;4.254;2.949
262;0.005240;0.146;0.126;0.447;0.446;4.363;4.258;2.951
263;0.005260;0.198;0.126;0.450;0.447;5.425;4.262;2.951
264;0.005280;0.215;0.126;0.467;0.448;5.257;4.266;2.950
265;0.005300;0.177;0.127;0.493;0.449;5.160;4.270;2.950
266;0.005320;0.176;0.127;0.498;0.450;5.089;4.274;2.951
267;0.005340;0.179;0.127;0.487;0.451;4.997;4.278;2.953
268;0.005360;0.185;0.127;0.533;0.452;5.070;4.283;2.950
269;0.005380;0.235;0.128;0.615;0.453;4.609;4.287;2.949
270;0.005400;0.309;0.128;0.740;0.455;4.803;4.291;2.950
271;0.005420;0.254;0.128;0.780;0.456;4.755;4.295;2.951
272;0.005440;0.185;0.128;0.753;0.457;5.052;4.300;2.949
273;0.005460;0.173;0.129;0.749;0.458;5.035;4.304;2.950
274;0.005480;0.211;0.129;0.786;0.459;4.808;4.308;2.951
275;0.005500;0.274;0.129;0.840;0.460;4.363;4.313;2.949
276;0.005520;0.264;0.129;0.853;0.461;4.724;4.317;2.950
277;0.005540;0.189;0.130;0.851;0.463;4.682;4.321;2.950
278;0.005560;0.155;0.130;0.824;0.464;3.994;4.325;2.952
279;0.005580;0.127;0.130;0.738;0.465;3.633;4.330;2.951
280;0.005600;0.146;0.131;0.710;0.467;4.059;4.334;2.948
281;0.005620;0.153;0.131;0.699;0.468;4.834;4.337;2.951
282;0.005640;0.150;0.131;0.652;0.469;4.341;4.341;2.952
283;0.005660;0.150;0.132;0.602;0.471;3.818;4.345;2.949
284;0.005680;0.121;0.132;0.568;0.472;4.043;4.349;2.949
285;0.005700;0.143;0.132;0.575;0.474;3.598;4.352;2.951
286;0.005720;0.146;0.133;0.584;0.475;3.715;4.355;2.950
287;0.005740;0.125;0.133;0.575;0.476;3.750;4.359;2.951
288;0.005760;0.119;0.133;0.571;0.478;3.697;4.362;2.950
289;0.005780;0.163;0.133;0.615;0.479;3.572;4.365;2.951
290;0.005800;0.276;0.134;0.736;0.480;3.737;4.367;2.952
291;0.005820;0.221;0.134;0.793;0.482;3.468;4.370;2.950
292;0.005840;0.149;0.134;0.767;0.483;3.263;4.372;2.949
293;0.005860;0.159;0.135;0.775;0.485;3.137;4.374;2.951
294;0.005880;0.168;0.135;0.769;0.486;3.259;4.376;2.951
295;0.005900;0.121;0.135;0.692;0.487;3.345;4.378;2.950
296;0.005920;0.117;0.136;0.645;0.489;3.159;4.379;2.952
297;0.005940;0.094;0.136;0.551;0.490;2.939;4.381;2.952
298;0.005960;0.135;0.136;0.487;0.492;3.472;4.382;2.950
299;0.005980;0.149;0.136;0.472;0.493;3.331;4.383;2.950
300;0.006000;0.138;0.137;0.467;0.495;3.281;4.383;2.950
301;0.006020;0.125;0.137;0.441;0.496;3.186;4.384;2.951
302;0.006040;0.103;0.137;0.416;0.497;3.611;4.384;2.950
303;0.006060;0.116;0.137;0.394;0.498;3.787;4.384;2.949
304;0.006080;0.109;0.138;0.399;0.500;3.212;4.385;2.951
305;0.006100;0.095;0.138;0.372;0.501;3.124;4.384;2.951
306;0.006120;0.088;0.138;0.337;0.502;3.076;4.384;2.949
307;0.006140;0.116;0.138;0.353;0.503;2.860;4.384;2.951
308;0.006160;0.151;0.138;0.394;0.504;2.635;4.383;2.952
309;0.006180;0.143;0.139;0.408;0.505;2.866;4.382;2.950
310;0.006200;0.168;0.139;0.443;0.506;3.215;4.381;2.948
311;0.006220;0.162;0.139;0.496;0.507;3.320;4.379;2.949
312;0.006240;0.165;0.139;0.544;0.508;2.752;4.378;2.951
313;0.006260;0.137;0.139;0.533;0.509;2.862;4.376;2.950
314;0.006280;0.158;0.140;0.558;0.510;2.770;4.374;2.949
315;0.006300;0.140;0.140;0.602;0.511;2.794;4.372;2.950
316;0.006320;0.173;0.140;0.597;0.512;2.622;4.370;2.952
317;0.006340;0.199;0.140;0.617;0.513;2.565;4.367;2.950
318;0.006360;0.152;0.140;0.608;0.514;2.882;4.364;2.948
319;0.006380;0.147;0.141;0.595;0.515;3.014;4.361;2.950
320;0.006400;0.158;0.141;0.590;0.516;3.316;4.358;2.951
321;0.006420;0.160;0.141;0.597;0.517;2.823;4.355;2.950
322;0.006440;0.112;0.141;0.591;0.517;2.937;4.351;2.950
323;0.006460;0.128;0.141;0.632;0.518;3.475;4.348;2.950
324;0.006480;0.166;0.142;0.613;0.519;2.576;4.344;2.952
325;0.006500;0.168;0.142;0.573;0.520;2.838;4.340;2.950
326;0.006520;0.197;0.142;0.615;0.521;2.792;4.336;2.949
